title,gender,country,latitude,longitude,department,job_title,language,Cluster,PCA1,PCA2
1,0,233,-17.4738864,24.2955141,10,95,41,0,0.2800731697684561,-1.3284211034878228
2,5,166,-4.8383044,-80.6482153,8,44,25,2,0.33495227018975277,-2.3668753782328937
3,5,166,-6.4240524,-79.242648,10,84,34,2,0.2749070025816627,-1.6661021556237132
5,5,42,36.759507,110.632006,10,76,8,3,-0.7753338534168321,0.6428241326673688
1,2,211,17.0740883,104.4490398,2,95,72,0,0.6797483500388849,0.2741527921635068
2,2,29,-8.2132323,-71.3824374,8,101,76,2,-1.2487587148483619,-1.1244112769036836
0,2,234,-20.5360441,29.2814687,5,79,22,0,0.23704325451905403,-1.890477667912555
5,5,211,8.287423,100.1927389,2,64,52,3,0.41830271305389005,0.7241160611364247
1,5,95,1.4092978,99.2272939,3,108,29,1,-0.9549019316974183,-0.3494032223491925
5,5,2,42.3593277,19.4422717,0,87,29,3,-0.606384533854025,0.5494872077341612
2,2,42,27.088049,119.647769,0,134,87,1,-0.929045047043661,1.4506150661881894
3,2,221,49.799354,23.518328,9,94,56,0,1.8911098997841453,0.22687757512843146
0,2,95,2.6928351,97.8503951,5,96,38,1,-0.9329336240721289,-0.6458769464173473
3,5,42,25.606486,100.267638,1,165,81,3,-0.8828566131218216,1.718677879237079
4,2,80,35.3750852,24.2012676,5,108,33,3,0.0022311325899264296,0.341787530925736
1,6,169,54.4576128,18.4558297,6,136,88,0,1.5695576010648653,0.48547469687297146
4,5,49,43.9373047,15.4435586,9,178,89,3,-0.038097165389533755,1.5731678743275754
3,2,170,41.2914665,-8.270224,9,41,89,0,1.2573012076358274,-0.19696921417216798
1,5,167,6.3000002,120.5833359,10,52,65,1,-0.18340716694888118,-0.37404251053816917
0,7,9,-26.7277949,-65.2739038,4,150,71,2,-1.8736025135127514,-1.4349220850277105
0,5,42,37.953529,114.816881,10,96,83,1,-0.6544037797264418,0.34521003516374693
1,5,95,-8.5068536,115.2624778,5,133,31,1,-1.2839352472773085,-0.13288808114401413
5,2,95,0.783255,102.069801,6,74,89,3,-1.057655348569336,1.1715637997654014
2,5,160,24.5552816,68.9071861,8,185,78,0,0.46353446243446433,1.1096743216986151
0,2,224,41.0699247,-80.6937177,7,21,10,0,2.1484946244416645,-2.7416507023949865
4,2,193,45.4698284,13.6405292,4,125,21,0,1.5280863080908091,0.35984670093874144
5,0,42,35.580996,116.986503,10,122,44,3,-0.8379886168158109,1.5675831038954036
1,6,166,-11.06612,-76.158401,5,57,41,2,0.2046791748399839,-2.3269080386839707
3,5,169,49.8413005,19.7366045,10,70,25,0,1.3420755886711242,-0.41350249580640885
2,2,42,28.579409,110.090436,7,97,79,1,-0.9068800085729162,0.8128498069284452
3,5,158,59.7414102,10.2299413,5,131,8,0,1.5571020878737407,0.08820338143131305
4,2,29,-22.4939375,-47.4294326,11,70,67,2,-1.775419735731015,-0.9856924284524577
3,2,196,-31.3699,27.03523,5,74,83,2,-0.4579778513704764,-0.4909730575521655
5,5,29,-16.8488172,-42.0633003,6,40,91,2,-1.6109048969579698,-0.49436847231439457
5,2,95,-6.9353179,112.548349,6,0,92,3,-1.3165062735457802,0.5321620297580981
2,2,224,39.2671237,-84.5195974,1,38,3,0,2.1286780265549754,-2.02902370930734
1,4,176,51.8321777,85.7788422,4,74,38,0,1.2595780166319392,-0.09509151046785946
4,5,42,34.542308,118.752842,10,107,68,3,-0.8185809062553051,1.391582193241553
0,5,170,40.3942251,-7.8103942,6,43,20,0,1.2816675646420777,-1.8211970775159705
4,2,176,54.7599431,20.1021063,4,72,50,0,1.5591407090624303,0.40018043421850136
3,3,29,-2.6242355,-56.7346167,6,21,9,2,-1.208518634769006,-2.1380792272367817
3,2,42,45.75997,126.668787,1,54,1,3,-0.5527698655027131,0.25222696251405247
2,2,95,-7.9655412,110.6008827,1,114,58,1,-1.2509489026094402,0.38181062847918357
1,5,95,-7.893728,110.1434668,5,139,83,1,-1.222084257285262,0.5058279846300007
4,2,193,45.5246959,13.8311208,2,55,63,0,1.5440013821137164,0.27392760499586305
2,2,229,11.9913493,108.9383377,6,162,18,0,0.6755803968790335,0.400396394929686
2,5,49,45.1216628,19.0173647,0,74,32,1,0.012518794614140525,-0.3741129572939221
2,5,169,49.4705944,20.1323725,2,142,59,0,1.4268978692355374,0.5256994066865798
4,7,54,-4.4419311,15.2662931,11,194,52,2,-1.2465661201958091,0.6262474589998683
1,2,42,36.865827,116.231416,1,131,79,1,-0.6587972302962694,1.1139972807198906
5,2,50,20.36667,-75.01667,5,86,72,2,-0.29680955800386627,-0.08410033310394771
2,5,28,-25.0324274,25.7486438,4,108,24,2,-2.075807704313223,-1.0349381043680848
1,2,42,39.9041999,116.4073963,5,88,72,1,-0.6192235323406621,0.5960776645313915
